post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
180190088.monday-last-call-on-180year,,false,,,newsletter,everyone,,,
180063760.tidying-canonical-order,2025-11-28T14:03:15.326Z,true,2025-11-28T14:03:15.498Z,2025-11-28T14:03:15.498Z,newsletter,only_paid,Tidying: Canonical Order,,
179873134.the-bet-on-juniors-just-got-better,,false,,,newsletter,only_paid,,,
179848758.live-with-kent-beck,,false,,,podcast,everyone,,,
179843156.f22,,false,,,podcast,only_paid,,,
179843117.f7e,,false,,,podcast,only_paid,,,
179274677.if-youve-been-thinking-about-subscribing,2025-11-22T15:02:32.632Z,true,2025-11-22T15:02:32.806Z,2025-11-22T15:02:32.806Z,newsletter,everyone,If You've Been Thinking About Subscribing to Premium...,,
179246297.why-does-development-slow,2025-11-19T13:12:31.775Z,true,2025-11-19T13:12:31.991Z,2025-11-19T13:12:31.991Z,newsletter,everyone,Why Does Development Slow?,It's the options,
179142187.can-genies-write-production-code,,false,,,newsletter,only_paid,,,
178601388.intentions-and-actions-1aa,2025-11-11T14:54:48.284Z,true,2025-11-11T14:54:48.462Z,2025-11-11T14:54:48.462Z,newsletter,only_paid,Intentions & Actions,Git as an example,
177661774.pitching-hackathon-ideas-oxymoron,2025-10-31T16:33:28.757Z,true,2025-10-31T16:33:28.966Z,2025-10-31T16:33:28.966Z,newsletter,everyone,Pitching Hackathon Ideas: Oxymoron,,
177624844.learndofail,,false,,,newsletter,only_paid,,,
177099292.composable-tests,2025-11-10T12:07:43.209Z,true,2025-11-10T12:07:43.413Z,2025-11-10T12:07:43.413Z,newsletter,everyone,Composable Tests,It's not what I thought,
176834242.thinkie-influence-diagram,2025-11-20T14:48:36.610Z,true,2025-11-20T14:48:36.768Z,2025-11-20T14:48:36.768Z,newsletter,only_paid,Thinkie: Influence Diagram,How do effects affect effects?,
176783398.thinkie-reinforcing-loop,,false,,,newsletter,only_paid,,,
176737669.first-principles-first,2025-10-21T13:59:09.230Z,true,2025-10-21T13:59:09.490Z,2025-10-21T13:59:09.490Z,newsletter,everyone,First Principles First,"When analyzing metrics, apply the simple filters first",
176685050.q4-sponsor-button-layout,,false,,,newsletter,only_paid,,,
176333094.separate-failed-assertions-from-unexpected,2025-10-16T15:06:37.666Z,true,2025-10-16T15:06:37.827Z,2025-10-16T15:06:37.827Z,newsletter,only_paid,Separate Failed Assertions from Unexpected Exceptions?,A seemingly-minor detail of test framework design turns out to depend on context,
175326455.teaching-augmented-coding,2025-10-08T13:03:26.701Z,true,2025-10-08T13:03:26.949Z,2025-10-08T13:03:27.990Z,newsletter,only_paid,Teaching Augmented Coding,First Impressions,
173866834.thinkie-aligning-incentive-e6e,2025-09-18T12:47:48.845Z,true,2025-09-18T12:47:48.944Z,2025-09-18T12:47:48.944Z,newsletter,only_paid,Thinkie: Aligning Incentive,,
173660693.programming-deflation,2025-09-15T13:41:31.489Z,true,2025-09-15T13:41:31.587Z,2025-09-15T13:41:31.587Z,newsletter,everyone,Programming Deflation,When Code Gets Cheaper Every Day,
172462872.beyond-the-ide,2025-09-04T12:57:33.055Z,true,2025-09-04T12:57:33.174Z,2025-09-04T12:57:33.174Z,newsletter,everyone,Beyond the IDE,Patch Boards to IDEs,
172357692.genie-fight-8e3,2025-09-11T13:07:58.103Z,true,2025-09-11T13:07:58.408Z,2025-09-11T13:07:58.408Z,newsletter,everyone,Genie Fight,When genies collide...,
172253611.switching-scale,2025-09-05T13:14:58.693Z,true,2025-09-05T13:14:58.823Z,2025-09-05T13:14:58.823Z,newsletter,only_paid,Switching Scale,A genie-commanding superpower,
171981761.genies-getting-stuck,2025-08-27T14:44:26.718Z,true,2025-08-27T14:44:26.812Z,2025-08-27T14:44:26.812Z,newsletter,only_paid,Genies Getting Stuck,,
171625855.thinkie-edges,2025-08-26T13:18:42.415Z,true,2025-08-26T13:18:42.824Z,2025-08-26T13:18:42.824Z,newsletter,only_paid,Thinkie: Edges,,
171295156.leaving-the-nest,2025-08-22T12:44:08.934Z,true,2025-08-22T12:44:09.087Z,2025-08-22T12:44:09.087Z,newsletter,only_paid,Leaving the Nest,A newsletter business update,
170969285.genie-fight,2025-08-18T13:09:23.875Z,true,2025-08-18T13:09:24.057Z,2025-08-18T13:09:24.057Z,newsletter,only_paid,Genie Fight,Pitting genies against each other can result in better outcomes,
